Service No,Rank,Name,Age,Branch,Service Tenure (Years),Mobile No
27720D,Group Captain,Divya Subramaniam,40,Medical (AFMS),23,8138906838
27559V,Group Captain,Shreya Rajput,42,Flying (Transport),24,8443016250
27749J,Group Captain,Tarun Sharma,43,Flying (Helicopter),25,9799110419
27751B,Group Captain,Meera Tripathi,41,Ground Duty (Operations),21,9755372216
27724R,Group Captain,Krishna Arora,42,Flying (Helicopter),20,8137684063
27480T,Air Commodore,Mohit Chatterjee,48,Administration,30,7537195346
27593M,Air Commodore,Geetha Das,48,Education,26,8899082554
27950Y,Air Commodore,Rohit Mishra,47,Logistics,28,8573355422
27190E,Air Commodore,Vishal Shah,46,Flying (Fighter),26,9442914501
27562T,Air Commodore,Seema Banerjee,48,Logistics,30,7560091893
27974L,Air Commodore,Akash Bose,49,Administration,30,7578731315
27449E,Air Commodore,Sanjay Mittal,49,Medical (AFMS),30,8319080366
27734Q,Air Vice Marshal,Pankaj Krishnan,51,Flying (Fighter),30,7345276187
27747X,Air Marshal,Rohan Subramaniam,55,Flying (Helicopter),35,8215494821
27965A,Air Marshal,Radhika Iyer,57,Logistics,33,7850805115
27691C,Air Marshal,Rekha Sharma,57,Flying (Fighter),33,7947802199
27292X,Air Chief Marshal,Lakshmi Bose,60,Education,35,9490413001
27592C,Air Chief Marshal,Divya Goyal,57,Technical (Mechanical),36,8897984710
27691F,Air Chief Marshal,Harish Khanna,59,Flying (Fighter),35,8553338315
27805G,Marshal of the Air Force,Ankit Kumar,60,Accounts,39,9859747044
27658Y,Marshal of the Air Force,Darsh Rathore,60,Flying (Fighter),36,8385052399
27340Q,Marshal of the Air Force,Sudha Bansal,61,Ground Duty (Operations),38,7687546089
